Categoría;Pregunta;Respuesta
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué error frecuente se comete con la barrera contra humedad?;El error frecuente es levantar el muro sobre una base húmeda. Esto puede causar salitre y pintura desprendida.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué consecuencias puede tener el error de levantar el muro sobre una base húmeda?;Este error puede generar salitre y pintura desprendida. La acción correcta es crear una barrera y eliminar el agua.
Sobrecimientos, Pisos y Humedad del Terreno;¿Por qué es importante controlar la barrera contra humedad?;Porque una ejecución incorrecta puede causar salitre y pintura desprendida. La referencia correcta es: Es recomendable cuando hay riesgo de humedad capilar y debe ser continua y compatible, sin interrumpir anclajes ni confinamiento.
Sobrecimientos, Pisos y Humedad del Terreno;¿Con qué se rellena debajo del falso piso?;Con material seleccionado, estable, sin basura ni materia orgánica, compactado por capas y alrededor de tuberías.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cuál es la forma correcta de resolver el material debajo del falso piso en una vivienda autoconstruida?;Con material seleccionado, estable, sin basura ni materia orgánica, compactado por capas y alrededor de tuberías.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cómo se verifica el material debajo del falso piso en obra?;Con material seleccionado, estable, sin basura ni materia orgánica, compactado por capas y alrededor de tuberías. Debe revisarse material, capas y compactación.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué error frecuente se comete con el material debajo del falso piso?;El error frecuente es usar desmonte sin compactar. Esto puede causar hundimientos y fisuras.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué consecuencias puede tener el error de usar desmonte sin compactar?;Este error puede generar hundimientos y fisuras. La acción correcta es retirar y compactar correctamente.
Sobrecimientos, Pisos y Humedad del Terreno;¿Por qué es importante controlar el material debajo del falso piso?;Porque una ejecución incorrecta puede causar hundimientos y fisuras. La referencia correcta es: Con material seleccionado, estable, sin basura ni materia orgánica, compactado por capas y alrededor de tuberías.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cuál es el espesor mínimo de un falso piso?;"No hay un espesor universal. Depende del uso, soporte, cargas, refuerzo, juntas y acabado; no es una losa estructural."
Sobrecimientos, Pisos y Humedad del Terreno;¿Existe una medida mínima universal para el espesor del falso piso?;"No hay un espesor universal. Depende del uso, soporte, cargas, refuerzo, juntas y acabado; no es una losa estructural."
Sobrecimientos, Pisos y Humedad del Terreno;¿Cómo se verifica el espesor del falso piso en obra?;"No hay un espesor universal. Depende del uso, soporte, cargas, refuerzo, juntas y acabado; no es una losa estructural. Debe revisarse plano, espesor, base y juntas."
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué error frecuente se comete con el espesor del falso piso?;El error frecuente es colocar una capa delgada sobre relleno flojo. Esto puede causar fisuración y hundimiento.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué consecuencias puede tener el error de colocar una capa delgada sobre relleno flojo?;Este error puede generar fisuración y hundimiento. La acción correcta es diseñar el piso y corregir la base.
Sobrecimientos, Pisos y Humedad del Terreno;¿Por qué es importante controlar el espesor del falso piso?;"Porque una ejecución incorrecta puede causar fisuración y hundimiento. La referencia correcta es: No hay un espesor universal. Depende del uso, soporte, cargas, refuerzo, juntas y acabado; no es una losa estructural."
Sobrecimientos, Pisos y Humedad del Terreno;¿Conviene colocar plástico debajo del piso?;Puede ser necesario en terreno húmedo, pero debe especificarse espesor, traslapes, sellos y continuidad. Una lámina rota no sirve.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cuál es la forma correcta de resolver la barrera de vapor bajo el piso en una vivienda autoconstruida?;Puede ser necesario en terreno húmedo, pero debe especificarse espesor, traslapes, sellos y continuidad. Una lámina rota no sirve.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cómo se verifica la barrera de vapor bajo el piso en obra?;Puede ser necesario en terreno húmedo, pero debe especificarse espesor, traslapes, sellos y continuidad. Una lámina rota no sirve. Debe revisarse traslapes, perforaciones y conexión con muros.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué error frecuente se comete con la barrera de vapor bajo el piso?;El error frecuente es cubrir una lámina dañada. Esto puede causar paso de humedad.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué consecuencias puede tener el error de cubrir una lámina dañada?;Este error puede generar paso de humedad. La acción correcta es repararla antes de vaciar.
Sobrecimientos, Pisos y Humedad del Terreno;¿Por qué es importante controlar la barrera de vapor bajo el piso?;Porque una ejecución incorrecta puede causar paso de humedad. La referencia correcta es: Puede ser necesario en terreno húmedo, pero debe especificarse espesor, traslapes, sellos y continuidad. Una lámina rota no sirve.
Sobrecimientos, Pisos y Humedad del Terreno;¿El piso interior debe quedar más alto que la vereda?;Debe definirse para impedir ingreso de agua y coordinar desagües y accesibilidad. No existe una diferencia única.
Sobrecimientos, Pisos y Humedad del Terreno;¿Existe una medida mínima universal para el nivel interior respecto de la calle?;Debe definirse para impedir ingreso de agua y coordinar desagües y accesibilidad. No existe una diferencia única.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cómo se verifica el nivel interior respecto de la calle en obra?;Debe definirse para impedir ingreso de agua y coordinar desagües y accesibilidad. No existe una diferencia única. Debe revisarse cotas, pendientes, umbrales y descarga.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué error frecuente se comete con el nivel interior respecto de la calle?;El error frecuente es dejar el piso por debajo del patio. Esto puede causar inundación y humedad.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué consecuencias puede tener el error de dejar el piso por debajo del patio?;Este error puede generar inundación y humedad. La acción correcta es replantear niveles y drenaje.
Sobrecimientos, Pisos y Humedad del Terreno;¿Por qué es importante controlar el nivel interior respecto de la calle?;Porque una ejecución incorrecta puede causar inundación y humedad. La referencia correcta es: Debe definirse para impedir ingreso de agua y coordinar desagües y accesibilidad. No existe una diferencia única.
Sobrecimientos, Pisos y Humedad del Terreno;¿Un piso de concreto necesita juntas?;Sí, según dimensiones, forma, restricciones y uso. Deben coordinarse con muros, columnas y acabados.
Sobrecimientos, Pisos y Humedad del Terreno;¿Existe una medida mínima universal para las juntas de pisos de concreto?;Sí, según dimensiones, forma, restricciones y uso. Deben coordinarse con muros, columnas y acabados.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cómo se verifica las juntas de pisos de concreto en obra?;Sí, según dimensiones, forma, restricciones y uso. Deben coordinarse con muros, columnas y acabados. Debe revisarse ubicación, profundidad y continuidad.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué error frecuente se comete con las juntas de pisos de concreto?;El error frecuente es vaciar una gran superficie sin juntas. Esto puede causar fisuras aleatorias.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué consecuencias puede tener el error de vaciar una gran superficie sin juntas?;Este error puede generar fisuras aleatorias. La acción correcta es diseñar y ejecutar juntas.
Sobrecimientos, Pisos y Humedad del Terreno;¿Por qué es importante controlar las juntas de pisos de concreto?;Porque una ejecución incorrecta puede causar fisuras aleatorias. La referencia correcta es: Sí, según dimensiones, forma, restricciones y uso. Deben coordinarse con muros, columnas y acabados.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cómo deben colocarse las tuberías debajo del piso?;Con trazado, pendiente o presión verificable, apoyo uniforme, relleno compatible y pruebas antes de cubrir.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cuál es la forma correcta de resolver las tuberías bajo el piso en una vivienda autoconstruida?;Con trazado, pendiente o presión verificable, apoyo uniforme, relleno compatible y pruebas antes de cubrir.
Sobrecimientos, Pisos y Humedad del Terreno;¿Cómo se verifica las tuberías bajo el piso en obra?;Con trazado, pendiente o presión verificable, apoyo uniforme, relleno compatible y pruebas antes de cubrir. Debe revisarse rutas, uniones, pruebas y registros.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué error frecuente se comete con las tuberías bajo el piso?;El error frecuente es taparlas sin probar. Esto puede causar fugas ocultas y demolición.
Sobrecimientos, Pisos y Humedad del Terreno;¿Qué consecuencias puede tener el error de taparlas sin probar?;Este error puede generar fugas ocultas y demolición. La acción correcta es probar y liberar antes del relleno.
Sobrecimientos, Pisos y Humedad del Terreno;¿Por qué es importante controlar las tuberías bajo el piso?;Porque una ejecución incorrecta puede causar fugas ocultas y demolición. La referencia correcta es: Con trazado, pendiente o presión verificable, apoyo uniforme, relleno compatible y pruebas antes de cubrir.
Concreto en Viviendas de Albañilería;¿Cuál es la resistencia mínima del concreto de columnas y soleras?;La E.070 establece f'c mínimo de 17.15 MPa, aproximadamente 175 kg/cm², para elementos de confinamiento. El proyecto puede exigir más.
Concreto en Viviendas de Albañilería;¿Qué establece el RNE sobre la resistencia del concreto de confinamiento?;La E.070 establece f'c mínimo de 17.15 MPa, aproximadamente 175 kg/cm², para elementos de confinamiento. El proyecto puede exigir más.
Concreto en Viviendas de Albañilería;¿Cómo se verifica la resistencia del concreto de confinamiento en obra?;La E.070 establece f'c mínimo de 17.15 MPa, aproximadamente 175 kg/cm², para elementos de confinamiento. El proyecto puede exigir más. Debe revisarse planos, dosificación, guía o probetas.
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con la resistencia del concreto de confinamiento?;El error frecuente es usar mezcla sin control. Esto puede causar columnas y soleras débiles.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de usar mezcla sin control?;Este error puede generar columnas y soleras débiles. La acción correcta es controlar la resistencia especificada.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar la resistencia del concreto de confinamiento?;Porque una ejecución incorrecta puede causar columnas y soleras débiles. La referencia correcta es: La E.070 establece f'c mínimo de 17.15 MPa, aproximadamente 175 kg/cm², para elementos de confinamiento. El proyecto puede exigir más.
Concreto en Viviendas de Albañilería;¿Todo el concreto debe ser de 210 kg/cm²?;No. Es un valor frecuente, pero cada elemento usa la resistencia de planos. El mínimo de confinamiento de E.070 es 175 kg/cm², no un valor único para toda la obra.
Concreto en Viviendas de Albañilería;¿Existe una medida mínima universal para el uso de concreto de 210 kg/cm²?;No. Es un valor frecuente, pero cada elemento usa la resistencia de planos. El mínimo de confinamiento de E.070 es 175 kg/cm², no un valor único para toda la obra.
Concreto en Viviendas de Albañilería;¿Cómo se verifica el uso de concreto de 210 kg/cm² en obra?;No. Es un valor frecuente, pero cada elemento usa la resistencia de planos. El mínimo de confinamiento de E.070 es 175 kg/cm², no un valor único para toda la obra. Debe revisarse resistencia por elemento y lote.
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con el uso de concreto de 210 kg/cm²?;El error frecuente es usar un valor por costumbre. Esto puede causar incumplimiento o gasto innecesario.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de usar un valor por costumbre?;Este error puede generar incumplimiento o gasto innecesario. La acción correcta es seguir las especificaciones.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar el uso de concreto de 210 kg/cm²?;Porque una ejecución incorrecta puede causar incumplimiento o gasto innecesario. La referencia correcta es: No. Es un valor frecuente, pero cada elemento usa la resistencia de planos. El mínimo de confinamiento de E.070 es 175 kg/cm², no un valor único para toda la obra.
Concreto en Viviendas de Albañilería;¿Se puede agregar agua para que el concreto esté más suelto?;No sin autorización y control. El exceso reduce resistencia y durabilidad y aumenta segregación y fisuras.
Concreto en Viviendas de Albañilería;¿Cuál es la forma correcta de resolver la adición de agua al concreto en una vivienda autoconstruida?;No sin autorización y control. El exceso reduce resistencia y durabilidad y aumenta segregación y fisuras.
Concreto en Viviendas de Albañilería;¿Cómo se verifica la adición de agua al concreto en obra?;No sin autorización y control. El exceso reduce resistencia y durabilidad y aumenta segregación y fisuras. Debe revisarse agua medida, consistencia y tiempo.
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con la adición de agua al concreto?;El error frecuente es agregar baldes de agua. Esto puede causar concreto débil y poroso.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de agregar baldes de agua?;Este error puede generar concreto débil y poroso. La acción correcta es ajustar la mezcla o usar aditivo aprobado.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar la adición de agua al concreto?;Porque una ejecución incorrecta puede causar concreto débil y poroso. La referencia correcta es: No sin autorización y control. El exceso reduce resistencia y durabilidad y aumenta segregación y fisuras.
Concreto en Viviendas de Albañilería;¿Cuál debe ser el slump del concreto?;"No existe uno universal. Depende del elemento, congestión de acero, bombeo y mezcla diseñada; no se corrige con agua informal."
Concreto en Viviendas de Albañilería;¿Existe una medida mínima universal para el slump del concreto?;"No existe uno universal. Depende del elemento, congestión de acero, bombeo y mezcla diseñada; no se corrige con agua informal."
Concreto en Viviendas de Albañilería;¿Cómo se verifica el slump del concreto en obra?;"No existe uno universal. Depende del elemento, congestión de acero, bombeo y mezcla diseñada; no se corrige con agua informal. Debe revisarse ensayo, segregación y pedido."
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con el slump del concreto?;El error frecuente es aceptar mezcla muy líquida. Esto puede causar segregación y pérdida de resistencia.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de aceptar mezcla muy líquida?;Este error puede generar segregación y pérdida de resistencia. La acción correcta es verificar la consistencia.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar el slump del concreto?;"Porque una ejecución incorrecta puede causar segregación y pérdida de resistencia. La referencia correcta es: No existe uno universal. Depende del elemento, congestión de acero, bombeo y mezcla diseñada; no se corrige con agua informal."
Concreto en Viviendas de Albañilería;¿Puedo usar piedra grande en columnas pequeñas?;No. El tamaño debe ser compatible con la sección, separación de barras y recubrimiento para que el concreto llene sin atascarse.
Concreto en Viviendas de Albañilería;¿Existe una medida mínima universal para el tamaño del agregado?;No. El tamaño debe ser compatible con la sección, separación de barras y recubrimiento para que el concreto llene sin atascarse.
Concreto en Viviendas de Albañilería;¿Cómo se verifica el tamaño del agregado en obra?;No. El tamaño debe ser compatible con la sección, separación de barras y recubrimiento para que el concreto llene sin atascarse. Debe revisarse separación libre y tamaño real.
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con el tamaño del agregado?;El error frecuente es usar agregado que no pasa entre barras. Esto puede causar cangrejeras y vacíos.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de usar agregado que no pasa entre barras?;Este error puede generar cangrejeras y vacíos. La acción correcta es cambiar la granulometría.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar el tamaño del agregado?;Porque una ejecución incorrecta puede causar cangrejeras y vacíos. La referencia correcta es: No. El tamaño debe ser compatible con la sección, separación de barras y recubrimiento para que el concreto llene sin atascarse.
Concreto en Viviendas de Albañilería;¿Se puede hacer concreto con arena o piedra con barro?;No. Los agregados deben estar limpios, sin materia orgánica, sales ni exceso de finos.
Concreto en Viviendas de Albañilería;¿Cuál es la forma correcta de resolver la limpieza de los agregados en una vivienda autoconstruida?;No. Los agregados deben estar limpios, sin materia orgánica, sales ni exceso de finos.
Concreto en Viviendas de Albañilería;¿Cómo se verifica la limpieza de los agregados en obra?;No. Los agregados deben estar limpios, sin materia orgánica, sales ni exceso de finos. Debe revisarse barro, polvo, olor y procedencia.
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con la limpieza de los agregados?;El error frecuente es usar agregado contaminado. Esto puede causar menor adherencia y resistencia.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de usar agregado contaminado?;Este error puede generar menor adherencia y resistencia. La acción correcta es lavar, ensayar o reemplazar.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar la limpieza de los agregados?;Porque una ejecución incorrecta puede causar menor adherencia y resistencia. La referencia correcta es: No. Los agregados deben estar limpios, sin materia orgánica, sales ni exceso de finos.
Concreto en Viviendas de Albañilería;¿Se puede preparar concreto con cualquier agua?;"No. Debe ser adecuada y libre de aceites, ácidos, sales o materia orgánica perjudicial; el agua potable suele ser referencia segura."
Concreto en Viviendas de Albañilería;¿Cuál es la forma correcta de resolver el agua de mezclado en una vivienda autoconstruida?;"No. Debe ser adecuada y libre de aceites, ácidos, sales o materia orgánica perjudicial; el agua potable suele ser referencia segura."
Concreto en Viviendas de Albañilería;¿Cómo se verifica el agua de mezclado en obra?;"No. Debe ser adecuada y libre de aceites, ácidos, sales o materia orgánica perjudicial; el agua potable suele ser referencia segura. Debe revisarse olor, color, espuma y procedencia."
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con el agua de mezclado?;El error frecuente es usar agua salobre o aceitosa. Esto puede causar corrosión y alteración del fraguado.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de usar agua salobre o aceitosa?;Este error puede generar corrosión y alteración del fraguado. La acción correcta es cambiar la fuente.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar el agua de mezclado?;"Porque una ejecución incorrecta puede causar corrosión y alteración del fraguado. La referencia correcta es: No. Debe ser adecuada y libre de aceites, ácidos, sales o materia orgánica perjudicial; el agua potable suele ser referencia segura."
Concreto en Viviendas de Albañilería;¿Es necesario vibrar columnas y vigas?;Sí. Debe compactarse por capas para envolver el acero, sin usar el vibrador para desplazar horizontalmente la mezcla.
Concreto en Viviendas de Albañilería;¿Cuál es la forma correcta de resolver el vibrado del concreto en una vivienda autoconstruida?;Sí. Debe compactarse por capas para envolver el acero, sin usar el vibrador para desplazar horizontalmente la mezcla.
Concreto en Viviendas de Albañilería;¿Cómo se verifica el vibrado del concreto en obra?;Sí. Debe compactarse por capas para envolver el acero, sin usar el vibrador para desplazar horizontalmente la mezcla. Debe revisarse equipo, penetración y ausencia de vacíos.
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con el vibrado del concreto?;El error frecuente es solo golpear el encofrado. Esto puede causar cangrejeras y baja adherencia.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de solo golpear el encofrado?;Este error puede generar cangrejeras y baja adherencia. La acción correcta es vibrar con técnica adecuada.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar el vibrado del concreto?;Porque una ejecución incorrecta puede causar cangrejeras y baja adherencia. La referencia correcta es: Sí. Debe compactarse por capas para envolver el acero, sin usar el vibrador para desplazar horizontalmente la mezcla.
Concreto en Viviendas de Albañilería;¿Cuántos días debe curarse el concreto?;En concreto convencional es frecuente un mínimo de siete días de curado continuo, salvo que cemento, clima o especificación exijan más.
Concreto en Viviendas de Albañilería;¿Cuál es la forma correcta de resolver el curado del concreto en una vivienda autoconstruida?;En concreto convencional es frecuente un mínimo de siete días de curado continuo, salvo que cemento, clima o especificación exijan más.
Concreto en Viviendas de Albañilería;¿Cómo se verifica el curado del concreto en obra?;En concreto convencional es frecuente un mínimo de siete días de curado continuo, salvo que cemento, clima o especificación exijan más. Debe revisarse inicio, continuidad y humedad.
Concreto en Viviendas de Albañilería;¿Qué error frecuente se comete con el curado del concreto?;El error frecuente es dejar secar los primeros días. Esto puede causar fisuras y menor resistencia.
Concreto en Viviendas de Albañilería;¿Qué consecuencias puede tener el error de dejar secar los primeros días?;Este error puede generar fisuras y menor resistencia. La acción correcta es mantener el curado indicado.
Concreto en Viviendas de Albañilería;¿Por qué es importante controlar el curado del concreto?;Porque una ejecución incorrecta puede causar fisuras y menor resistencia. La referencia correcta es: En concreto convencional es frecuente un mínimo de siete días de curado continuo, salvo que cemento, clima o especificación exijan más.
Acero de Refuerzo y Recubrimientos;¿Cuál es el diámetro mínimo de fierro para una columna?;No existe uno universal. Cantidad y diámetro dependen de cargas, altura, sismo y sección y deben aparecer en planos.
Acero de Refuerzo y Recubrimientos;¿Existe una medida mínima universal para el diámetro de barras de columnas?;No existe uno universal. Cantidad y diámetro dependen de cargas, altura, sismo y sección y deben aparecer en planos.
Acero de Refuerzo y Recubrimientos;¿Cómo se verifica el diámetro de barras de columnas en obra?;No existe uno universal. Cantidad y diámetro dependen de cargas, altura, sismo y sección y deben aparecer en planos. Debe revisarse número, diámetro y continuidad.
Acero de Refuerzo y Recubrimientos;¿Qué error frecuente se comete con el diámetro de barras de columnas?;El error frecuente es usar cuatro barras elegidas por costumbre. Esto puede causar capacidad insuficiente.
Acero de Refuerzo y Recubrimientos;¿Qué consecuencias puede tener el error de usar cuatro barras elegidas por costumbre?;Este error puede generar capacidad insuficiente. La acción correcta es usar el armado calculado.
Acero de Refuerzo y Recubrimientos;¿Por qué es importante controlar el diámetro de barras de columnas?;Porque una ejecución incorrecta puede causar capacidad insuficiente. La referencia correcta es: No existe uno universal. Cantidad y diámetro dependen de cargas, altura, sismo y sección y deben aparecer en planos.
Acero de Refuerzo y Recubrimientos;¿Cada cuánto van los estribos de una columna?;Depende del diseño y suele ser menor en extremos y nudos. No existe una separación universal.
Acero de Refuerzo y Recubrimientos;¿Existe una medida mínima universal para la separación de estribos?;Depende del diseño y suele ser menor en extremos y nudos. No existe una separación universal.
Acero de Refuerzo y Recubrimientos;¿Cómo se verifica la separación de estribos en obra?;Depende del diseño y suele ser menor en extremos y nudos. No existe una separación universal. Debe revisarse diámetro, separación por zonas y ganchos.
Acero de Refuerzo y Recubrimientos;¿Qué error frecuente se comete con la separación de estribos?;El error frecuente es poner todos muy separados. Esto puede causar pandeo de barras y falla frágil.
Acero de Refuerzo y Recubrimientos;¿Qué consecuencias puede tener el error de poner todos muy separados?;Este error puede generar pandeo de barras y falla frágil. La acción correcta es corregir según el detalle.
Acero de Refuerzo y Recubrimientos;¿Por qué es importante controlar la separación de estribos?;Porque una ejecución incorrecta puede causar pandeo de barras y falla frágil. La referencia correcta es: Depende del diseño y suele ser menor en extremos y nudos. No existe una separación universal.
Acero de Refuerzo y Recubrimientos;¿Cuánto debe medir el traslape del fierro?;"Depende del diámetro, concreto, recubrimiento, confinamiento y esfuerzo. Debe indicarse en plano; no hay una sola medida."
Acero de Refuerzo y Recubrimientos;¿Existe una medida mínima universal para la longitud de traslape?;"Depende del diámetro, concreto, recubrimiento, confinamiento y esfuerzo. Debe indicarse en plano; no hay una sola medida."
Acero de Refuerzo y Recubrimientos;¿Cómo se verifica la longitud de traslape en obra?;"Depende del diámetro, concreto, recubrimiento, confinamiento y esfuerzo. Debe indicarse en plano; no hay una sola medida. Debe revisarse longitud, zona y barras simultáneas."
Acero de Refuerzo y Recubrimientos;¿Qué error frecuente se comete con la longitud de traslape?;El error frecuente es usar el mismo traslape corto. Esto puede causar deslizamiento y pérdida de continuidad.
Acero de Refuerzo y Recubrimientos;¿Qué consecuencias puede tener el error de usar el mismo traslape corto?;Este error puede generar deslizamiento y pérdida de continuidad. La acción correcta es seguir o recalcular el empalme.
Acero de Refuerzo y Recubrimientos;¿Por qué es importante controlar la longitud de traslape?;"Porque una ejecución incorrecta puede causar deslizamiento y pérdida de continuidad. La referencia correcta es: Depende del diámetro, concreto, recubrimiento, confinamiento y esfuerzo. Debe indicarse en plano; no hay una sola medida."
Acero de Refuerzo y Recubrimientos;¿Se pueden traslapar todas las barras en la misma altura?;"No sin que el diseño lo permita. Concentrar empalmes crea una zona débil; normalmente se alternan o confinan."
Acero de Refuerzo y Recubrimientos;¿Existe una medida mínima universal para los traslapes en una misma sección?;"No sin que el diseño lo permita. Concentrar empalmes crea una zona débil; normalmente se alternan o confinan."
Acero de Refuerzo y Recubrimientos;¿Cómo se verifica los traslapes en una misma sección en obra?;"No sin que el diseño lo permita. Concentrar empalmes crea una zona débil; normalmente se alternan o confinan. Debe revisarse altura, porcentaje y estribos."
Acero de Refuerzo y Recubrimientos;¿Qué error frecuente se comete con los traslapes en una misma sección?;El error frecuente es empalmar todas juntas. Esto puede causar concentración de deformación.
Acero de Refuerzo y Recubrimientos;¿Qué consecuencias puede tener el error de empalmar todas juntas?;Este error puede generar concentración de deformación. La acción correcta es redistribuir según plano.
Acero de Refuerzo y Recubrimientos;¿Por qué es importante controlar los traslapes en una misma sección?;"Porque una ejecución incorrecta puede causar concentración de deformación. La referencia correcta es: No sin que el diseño lo permita. Concentrar empalmes crea una zona débil; normalmente se alternan o confinan."
Acero de Refuerzo y Recubrimientos;¿Cuál es el recubrimiento en columnas y soleras tarrajeadas?;"La E.070 establece 2 cm medidos al estribo cuando el muro será tarrajeado; la exposición o el proyecto pueden exigir más."
Acero de Refuerzo y Recubrimientos;¿Qué establece el RNE sobre el recubrimiento de confinamientos tarrajeados?;"La E.070 establece 2 cm medidos al estribo cuando el muro será tarrajeado; la exposición o el proyecto pueden exigir más."
Acero de Refuerzo y Recubrimientos;¿Cómo se verifica el recubrimiento de confinamientos tarrajeados en obra?;"La E.070 establece 2 cm medidos al estribo cuando el muro será tarrajeado; la exposición o el proyecto pueden exigir más. Debe revisarse distancia al estribo y separadores."
Acero de Refuerzo y Recubrimientos;¿Qué error frecuente se comete con el recubrimiento de confinamientos tarrajeados?;El error frecuente es pegar el estribo al encofrado. Esto puede causar corrosión y desprendimiento.
Acero de Refuerzo y Recubrimientos;¿Qué consecuencias puede tener el error de pegar el estribo al encofrado?;Este error puede generar corrosión y desprendimiento. La acción correcta es reposicionar el acero.
Acero de Refuerzo y Recubrimientos;¿Por qué es importante controlar el recubrimiento de confinamientos tarrajeados?;"Porque una ejecución incorrecta puede causar corrosión y desprendimiento. La referencia correcta es: La E.070 establece 2 cm medidos al estribo cuando el muro será tarrajeado; la exposición o el proyecto pueden exigir más."
Acero de Refuerzo y Recubrimientos;¿Cuál es el recubrimiento en columnas y soleras caravista?;La E.070 establece 3 cm medidos al estribo cuando el elemento quedará caravista.
Acero de Refuerzo y Recubrimientos;¿Qué establece el RNE sobre el recubrimiento de confinamientos caravista?;La E.070 establece 3 cm medidos al estribo cuando el elemento quedará caravista.
Acero de Refuerzo y Recubrimientos;¿Cómo se verifica el recubrimiento de confinamientos caravista en obra?;La E.070 establece 3 cm medidos al estribo cuando el elemento quedará caravista. Debe revisarse distancia, acabado y exposición.
Acero de Refuerzo y Recubrimientos;¿Qué error frecuente se comete con el recubrimiento de confinamientos caravista?;El error frecuente es dejar menos de 3 cm. Esto puede causar corrosión temprana.
Acero de Refuerzo y Recubrimientos;¿Qué consecuencias puede tener el error de dejar menos de 3 cm?;Este error puede generar corrosión temprana. La acción correcta es usar separadores adecuados.
Acero de Refuerzo y Recubrimientos;¿Por qué es importante controlar el recubrimiento de confinamientos caravista?;Porque una ejecución incorrecta puede causar corrosión temprana. La referencia correcta es: La E.070 establece 3 cm medidos al estribo cuando el elemento quedará caravista.
Acero de Refuerzo y Recubrimientos;¿Cuánto recubrimiento necesita el acero vaciado contra tierra?;La E.060 establece 75 mm para concreto colocado y permanentemente expuesto contra el suelo.
Acero de Refuerzo y Recubrimientos;¿Qué establece el RNE sobre el recubrimiento contra el suelo?;La E.060 establece 75 mm para concreto colocado y permanentemente expuesto contra el suelo.
Acero de Refuerzo y Recubrimientos;¿Cómo se verifica el recubrimiento contra el suelo en obra?;La E.060 establece 75 mm para concreto colocado y permanentemente expuesto contra el suelo. Debe revisarse separación inferior y lateral.
Acero de Refuerzo y Recubrimientos;¿Qué error frecuente se comete con el recubrimiento contra el suelo?;El error frecuente es apoyar el acero en tierra. Esto puede causar corrosión y falta de adherencia.
Acero de Refuerzo y Recubrimientos;¿Qué consecuencias puede tener el error de apoyar el acero en tierra?;Este error puede generar corrosión y falta de adherencia. La acción correcta es asegurar 75 mm.
Acero de Refuerzo y Recubrimientos;¿Por qué es importante controlar el recubrimiento contra el suelo?;Porque una ejecución incorrecta puede causar corrosión y falta de adherencia. La referencia correcta es: La E.060 establece 75 mm para concreto colocado y permanentemente expuesto contra el suelo.
Acero de Refuerzo y Recubrimientos;¿Se pueden usar ladrillos rotos como separadores?;"No es recomendable. Deben ser estables, resistentes y de la dimensión exacta; los trozos absorben agua y se mueven."
Acero de Refuerzo y Recubrimientos;¿Cuál es la forma correcta de resolver los separadores de acero en una vivienda autoconstruida?;"No es recomendable. Deben ser estables, resistentes y de la dimensión exacta; los trozos absorben agua y se mueven."
